Organization Name,Organization Name URL,Categories,Category Groups,Description,Website,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,IPO Status
Pain Therapeutics,https://www.crunchbase.com/organization/pain-therapeutics,Biotechnology,"Biotechnology, Science and Engineering","Pain Therapeutics, Inc. is a biopharmaceutical company that develops drugs. The Company has four drug candidates in clinical programs",http://www.paintrials.com/,1,IPO,"$1,700,000 ",9/21/15,Grant,"$1,700,000 ",Public
GlassesOff,https://www.crunchbase.com/organization/glassesoff,"Biotechnology, Consulting, Enterprise Software","Biotechnology, Science and Engineering, Software",GlassesOff is a health care technology company providing consumer-oriented software apps to improve near vision sharpness.,http://glassesoff.com,3,IPO,"$15,000,000 ",7/3/14,Post-IPO Equity,"$23,100,000 ",Public
Implanet,https://www.crunchbase.com/organization/implanet,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Implanet is a biotechnology company that provides implants for healthcare professionals treating orthopaedic patients.,http://www.implanet.com,6,IPO,"€18,700,000",11/1/13,Series E,"$84,123,154 ",Public
OrthoPediatrics,https://www.crunchbase.com/organization/orthopediactrics,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering","OrthoPediactrics designs, develops, manufactures, and distributes orthopedic implants and instruments for pediatric orthopedic surgeons.",http://www.orthopediatrics.com,3,IPO,"$38,900,000 ",6/3/14,Venture - Series Unknown,"$51,451,875 ",Public
Great Basin,https://www.crunchbase.com/organization/great-basin-corporation,"Biotechnology, Health Diagnostics, Information Technology","Biotechnology, Health Care, Information Technology, Science and Engineering","Great Basin Corporation is a life sciences company commercializing technologies for the molecular, rapid diagnostic testing market.",http://www.gbscience.com,5,IPO,"$68,000,000 ",7/13/16,Post-IPO Debt,"$95,997,653 ",Public
Rezolute,https://www.crunchbase.com/organization/antriabio,"Biotechnology, Diabetes, Therapeutics","Biotechnology, Health Care, Science and Engineering",Rezolute is a clinical stage biopharma specializing in the development of drug therapies for patients with metabolic and orphan diseases.,https://www.rezolutebio.com/,9,IPO,"$13,000,000 ",7/17/17,Post-IPO Equity,"$55,589,068 ",Public
BRAIN,https://www.crunchbase.com/organization/brain,"Biotechnology, Chemical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","BRAIN provides biodiversity-based solutions for applications in the chemical, pharmaceutical, cosmetics and food industries.",http://www.brain-biotech.de,1,IPO,"€60,000,000",11/27/12,Private Equity,"€60,000,000",Public
Medgenics,https://www.crunchbase.com/organization/medgenics,"Biopharma, Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering",Medgenics is a clinical-stage biopharmaceutical company developing proprietary platform technology.,http://www.medgenics.com,7,IPO,"$3,400,000 ",6/14/15,Grant,"$45,626,066 ",Public
Inspyr Therapeutics,https://www.crunchbase.com/organization/genspera,"Biotechnology, Medical, Therapeutics","Biotechnology, Health Care, Science and Engineering",Inspyr Therapeutics is a development stage oncology co focusing on therapeutics that deliver a cancer-destroying drug directly to the tumor.,http://www.inspyrtx.com/,10,IPO,"$2,513,894 ",7/27/15,Venture - Series Unknown,"$22,804,222 ",Public
Novan,https://www.crunchbase.com/organization/novan,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Novan is a clinical-stage drug development company developing deliverable nitric oxide.,http://www.novantherapeutics.com,7,IPO,"$32,840,304 ",12/30/15,Venture - Series Unknown,"$109,340,296 ",Public
TG Therapeutics,https://www.crunchbase.com/organization/tg-therapeutics,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","TG Therapeutics, a biopharmaceutical company, develops agents for the treatment of hematologic malignancies and autoimmune disorders.",http://tgtherapeutics.com,1,IPO,"$25,000,000 ",2/29/12,Post-IPO Equity,"$25,000,000 ",Public
Quotient Biodiagnostics,https://www.crunchbase.com/organization/quotient-biodiagnostics,"Biotechnology, Health Care, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Quotient Biodiagnostics develops and manufactures products for use in transfusion diagnostics.,http://www.quotientbd.com,3,IPO,"$27,000,000 ",11/27/14,Post-IPO Equity,"$43,200,000 ",Public
Clinical Data,https://www.crunchbase.com/organization/clinical-data,"Biotechnology, Developer Platform, Genetics","Biotechnology, Health Care, Science and Engineering, Software",Clinical Data develops and commercializes therapeutics for central nervous system and cardiovascular disorders.,http://www.clda.com,2,IPO,"$101,000 ",2/23/11,Venture - Series Unknown,"$259,611 ",Public
Luna Innovations,https://www.crunchbase.com/organization/luna-innovations,"Biotechnology, Hardware, Software","Biotechnology, Hardware, Science and Engineering, Software","Luna Innovations develops sensing and instrumentation products for the healthcare, telecommunications, energy and defense sectors.",http://www.lunainnovations.com,2,IPO,"$6,000,000 ",4/24/14,Venture - Series Unknown,"$13,115,002 ",Public
BioSig Technologies,https://www.crunchbase.com/organization/biosig-technologies,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",BioSig Technologies offers a platform for the minimization of noise and artifacts from cardiac recordings during electrophysiology studies.,http://biosigtech.com/,9,IPO,"$1,640,398 ",7/24/17,Post-IPO Equity,"$11,273,133 ",Public
NewLink Genetics,https://www.crunchbase.com/organization/newlink-genetics,"Biotechnology, Genetics, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","NewLink Genetics, a biopharmaceutical company, develops therapeutic and diagnostic agents for patients with cancer and infectious diseases.",http://www.newlinkgenetics.com,4,IPO,"$7,500,000 ",7/21/09,Series D,"$33,594,000 ",Public
Actinium Pharmaceuticals,https://www.crunchbase.com/organization/actinium-pharmaceuticals,"Biotechnology, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Actinium Pharmaceuticals develops alpha particle linked antibodies to treat cancer.,http://www.actiniumpharmaceuticals.com,2,IPO,"$6,636,720 ",1/21/14,Venture - Series Unknown,"$7,000,720 ",Public
Osiris Therapeutics,https://www.crunchbase.com/organization/osiris-therapeutics,"Biotechnology, Manufacturing, Marketing, Medical Device","Biotechnology, Health Care, Manufacturing, Sales and Marketing, Science and Engineering","Osiris Therapeutics, Inc. is a stem cell company, which focuses on developing and marketing products to treat medical conditions in the",http://osiris.com,2,IPO,"$15,000,000 ",4/9/14,Post-IPO Equity,"$65,000,000 ",Public
GeoVax,https://www.crunchbase.com/organization/geovax,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",GeoVax Labs develops vaccines that prevent and fight HIV infections that result in AIDS.,http://geovax.com,5,IPO,"$1,000,000 ",5/9/17,Post-IPO Equity,"$12,350,000 ",Public
Virobay,https://www.crunchbase.com/organization/virobay,"Biotechnology, Neuroscience, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Virobay develops small molecule, antiviral drug treatments for autoimmune diseases, neuropathic pain, liver diseases and cancer.",http://www.virobayinc.com,4,IPO,"$8,000,000 ",7/16/14,Series B,"$23,765,000 ",Public
Merck,https://www.crunchbase.com/organization/merck-kgaa,"Biotechnology, Health Care, Life Science","Biotechnology, Health Care, Science and Engineering",Merck is a pharmaceutical and chemical enterprise that develops prescription drugs and over-the-counter products.,http://www.merck.de,,IPO,,,,,Public
SillaJen,https://www.crunchbase.com/organization/sillajen,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering","Sillajen, global oncolytic immunotherapeutic company.",http://www.sillajen.com/,1,IPO,"$12,000,000 ",3/21/16,Venture - Series Unknown,"$12,000,000 ",Public
RegeneRx,https://www.crunchbase.com/organization/regenerx,"Biopharma, Biotechnology, Medical","Biotechnology, Health Care, Science and Engineering","RegeneRx is a biopharmaceutical company that designs, researches, and develops novel peptides targeted at diseases with unmet medical needs.",http://www.regenerx.com,5,IPO,"$1,000,000 ",3/2/18,Post-IPO Equity,"$7,925,000 ",Public
Endonovo Therapeutics,https://www.crunchbase.com/organization/endonovo-therapeutics,Biotechnology,"Biotechnology, Science and Engineering",Endonovo Therapeutics is a biotechnology company developing off-the-shelf regenerative products.,http://endonovo.com/,3,IPO,"$5,000,000 ",11/30/16,Post-IPO Debt,"$15,483,000 ",Public
La jolla Pharmaceutical,https://www.crunchbase.com/organization/la-jolla-pharmaceutical-co,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",La Jolla Pharmaceutical is a biopharmaceutical company that is focused on innovative therapeutics for chronic organ failure and cancer.,http://ljpc.com,2,IPO,"$17,755,714 ",10/9/13,Post-IPO Equity,"$22,939,713 ",Public
Celldex Therapeutics,https://www.crunchbase.com/organization/celldex-therapeutics,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Celldex Therapeutics (NASDAQ: CLDX) was founded based on a fundamental scientific belief that harnessing the power of the immune system,http://celldex.com,1,IPO,"$2,000,000 ",10/24/14,Venture - Series Unknown,"$2,000,000 ",Public
Corium International,https://www.crunchbase.com/organization/corium-international,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Corium International is engaged in the development of advanced transdermal drug delivery technologies and products.,http://www.coriumgroup.com,2,IPO,"$45,000,000 ",12/1/12,Convertible Note,"$85,000,000 ",Public
NicOx,https://www.crunchbase.com/organization/nicox,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",NicOx engages in the development of nitric oxide-donating drugs for inflammation and cardio-metabolic diseases.,http://www.nicox.com,1,IPO,"$149,000,000 ",11/18/09,Post-IPO Equity,"$149,000,000 ",Public
McKesson,https://www.crunchbase.com/organization/mckesson,"Biotechnology, Health Care, Information Technology","Biotechnology, Health Care, Information Technology, Science and Engineering","McKesson distributes medical supplies, information technology and care management products and services in the healthcare industry.",http://www.mckesson.com,,IPO,,,,,Public
Neptune Technologies & Bioressource,https://www.crunchbase.com/organization/neptune-technologies-bioressource,"Biotechnology, Life Science, Natural Resources","Biotechnology, Natural Resources, Science and Engineering, Sustainability","Neptune Technologies & Bioressources innovates, produces and formulates novel phospholipid products and marine-derived krill extracts.",http://neptunebiotech.com,3,IPO,"$25,000,000 ",3/5/14,Post-IPO Equity,"$36,125,000 ",Public
Medicure,https://www.crunchbase.com/organization/medicure,Biotechnology,"Biotechnology, Science and Engineering","Medicure is a specialty pharmaceutical Company engaged in the research, clinical development and commercialization of human therapeutics.",http://medicure.com/,1,IPO,"$60,000,000 ",11/18/16,Post-IPO Debt,"$60,000,000 ",Public
Bacterin International Holdings,https://www.crunchbase.com/organization/bacterin-international-holdings,"Biotechnology, Manufacturing, Medical Device","Biotechnology, Health Care, Manufacturing, Science and Engineering",Bacterin International Holdings is a medical device company and accredited tissue bank providing advanced medical products.,http://bacterin.com,4,IPO,"$4,000,000 ",3/10/14,Post-IPO Debt,"$28,561,000 ",Public
Vaccinogen,https://www.crunchbase.com/organization/vaccinogen,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",Vaccinogen manufactures vaccines and other immunotherapeutic products for cancers and infectious diseases.,http://www.vaccinogeninc.com,5,IPO,"$80,000,000 ",8/25/14,Post-IPO Equity,"$99,051,350 ",Public
DigiPath,https://www.crunchbase.com/organization/digipath,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","DigiPath, Inc. (OTC: DIGP) has over 60 years combined expertise in pioneering digital pathology",http://www.digipath.com,2,IPO,"$8,199,999 ",7/23/14,Post-IPO Equity,"$10,399,999 ",Public
Genfit,https://www.crunchbase.com/organization/genfit,Biotechnology,"Biotechnology, Science and Engineering","Genfit SA, a biopharmaceutical engages in the research and development of drugs for the prevention and treatment.",http://www.genfit.com,3,IPO,"€44,600,000",11/1/16,Post-IPO Equity,"€65,600,000",Public
KemPharm,https://www.crunchbase.com/organization/kempharm,"Biotechnology, Pharmaceutical, Therapeutics","Biotechnology, Health Care, Science and Engineering","KemPharm is a biopharmaceutical company focused on discovering and developing therapies for pain, ADHD, and other CNS diseases.",http://kempharm.com,6,IPO,"$4,000,000 ",3/4/15,Venture - Series Unknown,"$75,750,391 ",Public
Delcath Systems,https://www.crunchbase.com/organization/delcath-systems,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Delcath Systems and its proprietary targeted drug delivery system are at the forefront of the regional treatment of cancer.,http://www.delcath.com,3,IPO,"$5,000,000 ",2/12/18,Post-IPO Equity,"$42,000,000 ",Public
Interleukin Genetics,https://www.crunchbase.com/organization/interleukin-genetics,"Biotechnology, Genetics, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Interleukin Genetics develops genetic tests for the personalized health market.,http://www.ilgenetics.com,9,IPO,"$5,592,500 ",8/10/16,Post-IPO Equity,"$64,541,595 ",Public
GlobeImmune,https://www.crunchbase.com/organization/globeimmune,"Biotechnology, Medical, Therapeutics","Biotechnology, Health Care, Science and Engineering","GlobeImmune offers Tarmogens, a targeted molecular immunotherapy for the treatment of cancer and infectious diseases.",http://www.globeimmune.com,10,IPO,"$391,730 ",3/12/14,Venture - Series Unknown,"$135,956,440 ",Public
Celcuity,https://www.crunchbase.com/organization/celcuity,"Biotechnology, Health Diagnostics, Therapeutics","Biotechnology, Health Care, Science and Engineering",Celcuity was founded in 2012 to transform care for patients with cancer or autoimmune disease.,http://celcuity.com,5,IPO,"$2,587,500 ",5/19/17,Convertible Note,"$17,837,500 ",Public
Diffusion Pharmaceuticals,https://www.crunchbase.com/organization/diffusion-pharmaceuticals,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",Diffusion Pharmaceuticals develops small molecule therapeutics for treating life-threatening medical conditions.,http://www.diffusionpharma.com,9,IPO,"$4,531,250 ",6/18/15,Venture - Series Unknown,"$32,458,447 ",Public
Onxeo,https://www.crunchbase.com/organization/onxeo,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Onxeo is a biotechnology company that develops of drugs for oncology.,http://onxeo.com,1,IPO,"€15,000,000",6/20/17,Post-IPO Equity,"€15,000,000",Public
Newron Pharmaceuticals,https://www.crunchbase.com/organization/newron-pharmaceuticals,"Biopharma, Biotechnology, Medical","Biotechnology, Health Care, Science and Engineering",Newron Pharmaceuticals S.p.A. is a biopharmaceutical company,http://www.newron.com/en,2,IPO,"$22,763,511 ",4/30/15,Post-IPO Equity,"$31,137,778 ",Public
Mast Therapeutics,https://www.crunchbase.com/organization/mast-therapeutics,Biotechnology,"Biotechnology, Science and Engineering","Mast Therapeutics is a biopharmaceutical company developing novel, clinical-stage therapies for serious or life-threatening diseases.",http://masttherapeutics.com,2,IPO,"$8,000,000 ",2/16/16,Post-IPO Equity,"$8,000,000 ",Public
BioCancell Therapeutic Inc,https://www.crunchbase.com/organization/biocancell-therapeutic-inc,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",BioCancell is a clinical-stage biopharmaceutical company focused on the discovery,http://www.biocancell.com/,2,IPO,"$23,000,000 ",4/13/18,Post-IPO Equity,"$29,000,000 ",Public
OncoVista Innovative Therapies,https://www.crunchbase.com/organization/oncovista-innovative-therapies,"Biotechnology, Health Diagnostics, Therapeutics","Biotechnology, Health Care, Science and Engineering",OncoVista Innovative Therapies engages in developing anticancer therapies by utilizing tumor-associated biomarkers.,http://www.oncovista.com,2,IPO,,11/3/15,Venture - Series Unknown,"$65,000,000 ",Public
DorsaVI,https://www.crunchbase.com/organization/dorsavi,"Biopharma, Biotechnology, Medical","Biotechnology, Health Care, Science and Engineering",DorsaVi is a biotechnology company developing innovative motion analysis device technologies.,http://www.dorsavi.com,2,IPO,"$5,000,000 ",8/30/11,Venture - Series Unknown,"$5,000,000 ",Public
MediWound,https://www.crunchbase.com/organization/mediwound,"Biotechnology, Manufacturing, Medical Device","Biotechnology, Health Care, Manufacturing, Science and Engineering","MediWound, a biotechnology specialty company, is focused on developing, manufacturing and commercializing innovative wound care products.",http://mediwound.com,2,IPO,"$22,000,000 ",9/19/17,Post-IPO Equity,"$40,000,000 ",Public
AIT,https://www.crunchbase.com/organization/ait,"Biotechnology, Developer Platform, Therapeutics","Biotechnology, Health Care, Science and Engineering, Software",AIT is a biotechnology company focused on the development of drugs for the treatment of lung infections.,http://ait-pharm.com,3,IPO,"$9,800,000 ",2/27/18,Post-IPO Equity,"$21,250,000 ",Public
Repligen,https://www.crunchbase.com/organization/repligen,"Biotechnology, Consumer Goods, Pharmaceutical","Biotechnology, Consumer Goods, Health Care, Science and Engineering",Repligen is a biopharmaceutical company developing consumable products for the manufacture of biological drugs.,http://www.repligen.com,2,IPO,"$4,000,000 ",6/18/14,Venture - Series Unknown,"$5,400,000 ",Public
Bone Therapeutics,https://www.crunchbase.com/organization/bone-therapeutics,"Biotechnology, Health Care, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Bone Therapeutics is a biopharmaceutical company developing cell therapy products for the treatment of osteo-articular diseases.,http://www.bonetherapeutics.eu,2,IPO,"€19,450,000",3/3/18,Post-IPO Debt,"€27,150,000",Public
Curis,https://www.crunchbase.com/organization/curis,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering","Curis develops Erivedge, a capsule manufactured for the treatment of adults with skin cancer.",http://www.curis.com/index.php,3,IPO,"$6,000,000 ",12/23/11,Venture - Series Unknown,"$22,000,000 ",Public
Fermentalg,https://www.crunchbase.com/organization/fermentalg,"Biotechnology, Energy, Health Care","Biotechnology, Energy, Health Care, Science and Engineering","Fermentalg is engaged in the production of micro-algae for the agrifood, healthcare and energy markets.",http://www.fermentalg.com,3,IPO,"€12,000,000",9/17/13,Series C,"$26,123,051 ",Public
Novo Nordisk,https://www.crunchbase.com/organization/novonordisk,"Biotechnology, Construction, Health Care, Manufacturing","Biotechnology, Health Care, Manufacturing, Real Estate, Science and Engineering",Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care.,http://www.novonordisk.com/,,IPO,,,,,Public
Spring Bank Pharmaceuticals,https://www.crunchbase.com/organization/spring-bank-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Spring Bank Pharmaceuticals is a discovery company developing a new class of pharmaceuticals called small molecule nucleic acid hybrids.,http://www.springbankpharm.com,4,IPO,"$11,562,168 ",1/13/15,Venture - Series Unknown,"$25,995,418 ",Public
Addex Therapeutics,https://www.crunchbase.com/organization/addex-therapeutics,"Biotechnology, Health Care, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Addex Therapeutics is a biopharmaceutical company.,http://addextherapeutics.com,6,IPO,"$835,000 ",1/31/17,Grant,"$95,212,782 ",Public
Knight Therapeutics,https://www.crunchbase.com/organization/knight-therapeutics,"Biotechnology, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Knight Therapeutics Inc., headquartered in Montreal, Canada, is a specialty pharmaceutical company focused on acquiring or in-licensing",http://gud-knight.com/en,1,IPO,"$180,000,000 ",4/10/14,Post-IPO Equity,"$180,000,000 ",Public
Asterias Biotherapeutics,https://www.crunchbase.com/organization/asterias-biotherapeutics,"Biotechnology, Life Science, Therapeutics","Biotechnology, Health Care, Science and Engineering","Asterias Biotherapeutics, Inc., a development stage biotechnology company.",http://asteriasbiotherapeutics.com/,2,IPO,"$4,000,000 ",2/23/15,Venture - Series Unknown,"$16,500,000 ",Public
NeuralStem,https://www.crunchbase.com/organization/neuralstem,"Biotechnology, Neuroscience, Therapeutics","Biotechnology, Health Care, Science and Engineering","Neuralstem, a biotherapeutics company, aims to apply stem cell research and technology to treat diseases of the central nervous system.",http://www.neuralstem.com,4,IPO,"$20,000,000 ",12/12/16,Venture - Series Unknown,"$24,358,000 ",Public
CorMedix,https://www.crunchbase.com/organization/cormedix,"Biotechnology, Health Care, Health Diagnostics","Biotechnology, Health Care, Science and Engineering","CorMedix is a specialty pharmaceutical company that develops products for the treatment of cardiac, renal and infectious diseases.",http://cormedix.com,4,IPO,"$5,000,000 ",11/9/17,Post-IPO Equity,"$11,469,973 ",Public
ESSA Pharma,https://www.crunchbase.com/organization/essa-pharma,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",ESSA is a pharmaceutical company focused on the development of small molecule drugs for the treatment of cancer.,http://essapharma.com,4,IPO,"$5,000,000 ",1/16/18,Post-IPO Equity,"$31,199,992 ",Public
CanFite BioPharma,https://www.crunchbase.com/organization/canfite-biopharma,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Can-Fite BioPharma (TASE:CFBI; NYSE MKT:CANF) is an Israeli biopharmaceutical company with fully integrated pharmaceutical discovery and,http://www.canfite.com,6,IPO,"$5,000,000 ",1/23/17,Post-IPO Equity,"$48,000,002 ",Public
Probiodrug,https://www.crunchbase.com/organization/probiodrug,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",Probiodrug is a biopharmaceutical company focused on the development of innovative small molecule drugs.,http://www.probiodrug.de,3,IPO,"€15,000,000",1/4/12,Venture - Series Unknown,"$94,009,862 ",Public
VBL THERAPEUTICS,https://www.crunchbase.com/organization/vbl-therapeutics,"Biotechnology, Genetics, Health Care, Medical","Biotechnology, Health Care, Science and Engineering","VBL Therapeutics is an innovative and diversified, clinical stage biotechnology company",http://www.vblrx.com/,1,IPO,"₪8,750,000",6/8/17,Grant,"₪8,750,000",Public
PharmaCyte Biotech,https://www.crunchbase.com/organization/pharmacyte-biotech,"Biotechnology, Clinical Trials, Health Care, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",PharmaCyte Biotech is a clinical stage biotechnology company focused on developing and preparing to commercialize treatments for cancer.,http://www.pharmacytebiotech.com/,2,IPO,"$1,000,000 ",1/15/16,Post-IPO Equity,"$2,136,000 ",Public
Cytodyn,https://www.crunchbase.com/organization/cytodyn,"Biotechnology, Pharmaceutical, Therapeutics","Biotechnology, Health Care, Science and Engineering",CytoDyn is a biotechnology company focused on the development of new therapies to combat infections with immune deficiency viruses.,http://cytodyn.com,10,IPO,"$4,301,500 ",5/11/16,Venture - Series Unknown,"$71,815,325 ",Public
Anavex,https://www.crunchbase.com/organization/anavex,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",Anavex is a biopharmaceutical company developing drugs for the treatment of cancer and neurological diseases.,http://anavex.com,2,IPO,"$10,000,000 ",3/19/14,Post-IPO Debt,"$12,600,000 ",Public
pSivida,https://www.crunchbase.com/organization/psivida,"Biotechnology, Developer Platform, Medical","Biotechnology, Health Care, Science and Engineering, Software",pSivida develops MEM and nanotechnology applications for use in the biomedical sector.,http://www.psivida.com,3,IPO,"$7,000,000 ",3/13/14,Post-IPO Equity,"$57,800,000 ",Public
Celsion,https://www.crunchbase.com/organization/celsion,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","Celsion is a biopharmaceutical company which develops innovative, targeted therapies that address unmet medical needs in oncology.",http://celsion.com,3,IPO,"$5,070,000 ",6/5/15,Post-IPO Debt,"$13,789,744 ",Public
Shield Therapeutics,https://www.crunchbase.com/organization/shield-therapeutics,"Biotechnology, Pharmaceutical, Therapeutics","Biotechnology, Health Care, Science and Engineering","Shield Therapeutics is a pharmaceutical company developing and commercializing late-stage, mineral-derived pharmaceuticals.",http://www.shieldtherapeutics.com,1,IPO,"€8,200,000",6/1/11,Series A,"€8,200,000",Public
StemCells,https://www.crunchbase.com/organization/stemcells,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","StemCells, Inc. is engaged in the research, development, and commercialization of cell-based therapeutics and tools for use in stem",http://stemcellsinc.com,1,IPO,"$20,000,000 ",7/21/14,Post-IPO Equity,"$20,000,000 ",Public
NEMUS Bioscience,https://www.crunchbase.com/organization/nemus-bioscience,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","NEMUS Bioscience is a biopharmaceutical company focused on the discovery, development, and the commercialization.",http://nemusbioscience.com/,5,IPO,"$20,000,000 ",5/5/17,Post-IPO Equity,"$27,835,989 ",Public
Penumbra,https://www.crunchbase.com/organization/penumbra,"Biotechnology, Developer Platform, Medical Device","Biotechnology, Health Care, Science and Engineering, Software",Penumbra develops clinically beneficial products that help patients suffering from stroke and other neurovascular diseases.,http://penumbrainc.com,1,IPO,"$121,230 ",11/2/12,Seed,"$121,230 ",Public
LabCorp,https://www.crunchbase.com/organization/laboratory-corporation-of-america,"Biotechnology, Education, Health Care, Innovation Management, Medical","Biotechnology, Education, Health Care, Science and Engineering",LabCorp is a leading global life sciences company.,https://www.labcorp.com,,IPO,,,,,Public
Neovacs,https://www.crunchbase.com/organization/neovacs,"Biotechnology, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering","Neovacs, a biotech company, develops several therapeutic vaccines for the treatment of AIDS, cancer and auto-immune and allergic diseases.",http://www.neovacs.fr,5,IPO,"€6,000,000",7/31/17,Post-IPO Equity,"€31,500,000",Public
Durect Corp.,https://www.crunchbase.com/organization/durect-corp,"Biotechnology, Health Diagnostics, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","DURECT is a specialty pharmaceutical company developing innovative drugs for pain and chronic diseases, with late-stage development",http://www.durect.com,1,IPO,"$20,000,000 ",6/26/14,Post-IPO Equity,"$20,000,000 ",Public
MYM Nutraceuticals,https://www.crunchbase.com/organization/mym-nutraceuticals,Biotechnology,"Biotechnology, Science and Engineering",MYM Nutraceuticals is an emerging bio-pharmaceutical company and distributor of medical marijuana products.,http://www.mymarijuana.ca/,1,IPO,"A$2,500,000",2/15/18,Grant,"A$2,500,000",Public
Catalyst Pharmaceuticals Partners,https://www.crunchbase.com/organization/catalyst-pharmaceuticals-partners-inc,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Catalyst is a specialty pharmaceutical company focused on the development and commercialization of prescription drugs,http://www.catalystpharma.com/about-us.shtml,1,IPO,"$15,100,000 ",9/10/13,Post-IPO Equity,"$15,100,000 ",Public
HESKA,https://www.crunchbase.com/organization/heska,"Biotechnology, Medical Device, Pet","Biotechnology, Community and Lifestyle, Health Care, Science and Engineering",Heska develops medical devices to improve the quality of pet care and to ensure positive outcomes for veterinarians and their patients.,http://heska.com,1,IPO,"$3,570,000 ",3/5/13,Venture - Series Unknown,"$3,570,000 ",Public
Aradigm,https://www.crunchbase.com/organization/aradigm,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Aradigm is a pharmaceutical company focused on the development of drugs for the treatment of severe respiratory diseases.,http://www.aradigm.com,2,IPO,"$23,000,000 ",5/3/16,Post-IPO Debt,"$27,108,777 ",Public
MATINAS BIOPHARMA,https://www.crunchbase.com/organization/matinas-biopharma,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",A clinical-stage biopharmaceutical company identifying and developing therapeutics for the treatment of fungal and bacterial infections.,http://matinasbiopharma.com,4,IPO,"$4,400,290 ",8/12/16,Post-IPO Equity,"$54,994,040 ",Public
CAPNIA,https://www.crunchbase.com/organization/capnia,"Biotechnology, Health Care, Medical, Oil and Gas","Biotechnology, Energy, Health Care, Natural Resources, Science and Engineering",CAPNIA employs its proprietary medical gas delivery system to develop therapeutic products for chronic diseases.,http://www.capnia.com,8,IPO,"$3,151,000 ",7/6/16,Venture - Series Unknown,"$49,370,087 ",Public
PLx Pharma,https://www.crunchbase.com/organization/plx-pharma,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",PLx Pharma develops and commercializes non-steroidal anti-inflammatory drugs for prescription and over-the-counter markets.,http://www.plxpharma.com,6,IPO,"$1,297,000 ",3/11/16,Debt Financing,"$26,571,242 ",Public
